CustomerID,CustomerName,Email,SignupDate,Revenue,Region,IsActive
1051,John Doe,,"March 3, 2022","1,200",North,N
1092,jane smith,janesmith@work.org,"March 3, 2022",-200,WEST,Y
1014,SARAH connor,,,1000,East,N
1071,ALICE JOHNSON,johndoe@gmail.com,01/02/2022,"1,200",SOUTH,Y
1060,John Doe,sconnor@data.net,,450.50,East,No
1020,bob lee,,2022-01-15,,south,Yes
1082,ALICE JOHNSON,janesmith@work.org,01/02/2022,-200,WEST,
1086,John Doe,janesmith@work.org,01/02/2022,450.50,,No
1074,bob lee,johndoe@gmail.com,01/02/2022,,East,Y
1074,,ALICE@EMAIL.COM,,450.50,,Y
1087,jane smith,,,-200,North,Yes
1099,John Doe,sconnor@data.net,01/02/2022,-200,North,N
1023,bob lee,sconnor@data.net,2022-01-15,,,Y
1002,ALICE JOHNSON,,01/02/2022,"1,200",,Yes
1021,John Doe,janesmith@work.org,2022-01-15,-200,,N
1052,John Doe,ALICE@EMAIL.COM,2022-01-15,1000,south,Yes
1001,ALICE JOHNSON,ALICE@EMAIL.COM,01/02/2022,450.50,North,Yes
1087,bob lee,,01/02/2022,,,
1029,SARAH connor,johndoe@gmail.com,"March 3, 2022","1,200",East,
1037,,sconnor@data.net,,-200,East,No
1001,SARAH connor,janesmith@work.org,"March 3, 2022",450.50,SOUTH,Yes
1063,jane smith,ALICE@EMAIL.COM,,450.50,East,Yes
1059,,janesmith@work.org,,"1,200",east,
1020,,sconnor@data.net,01/02/2022,450.50,,Yes
1032,ALICE JOHNSON,sconnor@data.net,"March 3, 2022",1000,North,Yes
1075,John Doe,johndoe@gmail.com,"March 3, 2022",,east,N
1057,SARAH connor,,,1000,south,Y
1021,ALICE JOHNSON,ALICE@EMAIL.COM,,-200,SOUTH,N
1088,jane smith,janesmith@work.org,2022-01-15,500,,No
1048,SARAH connor,janesmith@work.org,"March 3, 2022","1,200",North,N
1090,John Doe,,,1000,East,Y
1058,ALICE JOHNSON,johndoe@gmail.com,,"1,200",east,Y
1041,SARAH connor,sconnor@data.net,2022-01-15,-200,North,Yes
1091,,johndoe@gmail.com,,,East,N
1059,jane smith,sconnor@data.net,01/02/2022,450.50,SOUTH,Yes
1079,John Doe,janesmith@work.org,,450.50,south,
1014,bob lee,johndoe@gmail.com,"March 3, 2022",500,,Y
1061,SARAH connor,,01/02/2022,,,Yes
1061,ALICE JOHNSON,ALICE@EMAIL.COM,01/02/2022,1000,WEST,No
1046,ALICE JOHNSON,ALICE@EMAIL.COM,"March 3, 2022",500,WEST,Yes
